code,kr-name
UOB000,청소년수련지구미분류
UOB100,청소년수련지구
UOB999,청소년수련지구기타
UOC000,보호구역미분류
UOC100,문화재보호구역
UOC200,문화재
UOC300,현상변경허가 대상구역
UOC400,등록문화재구역
UOC500,지정문화재구역
UOC510,국가지정문화재구역
UOC520,시도지정문화재구역
UOC530,문화재자료구역
UOC600,가지정문화재구역
UOC700,조례로정한지역
UOC800,역사문화환경보존지역
UOC999,보호구역기타
UOD000,전통건조물보존미분류
UOD100,전통건조물보존지구
UOD200,보존대상전통건조물보호구역
UOD999,전통건조물보존기타
UOE000,전통사찰보존미분류
UOE100,경내지
UOE200,전통사찰보존구역
UOE300,전통사찰역사문화보존구역
UOE999,전통사찰보존기타
UOF000,관광지미분류
UOF100,관광지
UOF200,관광단지
UOF300,관광특구
UOF999,관광지기타
UOG000,고도보존용도지구미분류
UOG100,특별보존지구
UOG200,역사문화환경지구
UOG999,고도보존용도지구기타
UOH000,문화예술진흥용도지구미분류
UOH100,문화지구
UOH999,문화예술진흥용도지구기타
UOI000,청소년활동진흥용도지구미분류
UOI100,청소년수련지구
UOI999,청소년활동진흥용도지구기타
UOJ000,묘지등설치제한지역미분류
UOJ100,묘지등설치제한지역
UOJ999,묘지등설치제한지역기타
UOK000,문화산업단지미분류
UOK100,문화산업단지
UOK999,문화산업단지기타
UOZ000,교육문화기타용도지역지구미분류
UOZ100,교육문화기타용도지역지구용도지역지구
UOZ999,교육문화기타용도지역지구기타
UPA000,화재경계지구미분류
UPA100,화재경계지구
UPA999,화재경계지구기타
UPB000,재해위험지구미분류
UPB100,재해위험지구
UPB200,자연재해위험지구
UPB210,침수위험지구
UPB220,유실위험지구
UPB230,고립위험지구
UPB250,해일위험지구
UPB260,취약방재시설지구
UPB999,재해위험지구기타
UPD000,재난안전관리위험지역미분류
UPD100,위험지역
UPD999,재난안전관리위험지역기타
UPE000,붕괴위험지역미분류
UPE100,붕괴위험지역
UPE999,붕괴위험지역기타
UPF000,재해위험 개선사업지구미분류
UPF100,재해위험 개선사업지구
UPF999,재해위험 개선사업지구기타
UPG000,위험저수지·댐 정비지구미분류
UPG100,위험저수지·댐 정비지구
UPG999,위험저수지·댐 정비지구기타
UPZ000,재해재난기타용도지역지구미분류
UPZ100,재해재난기타용도지역지구용도지역지구
UPZ999,재해재난기타용도지역지구기타
UQA000,도시지역미분류
UQA001,도시지역
UQA002,도시관리계획 입안중
UQA01X,도시지역
UQA100,주거지역
UQA110,전용주거지역
UQA111,제1종전용주거지역
UQA112,제2종전용주거지역
UQA120,일반주거지역
UQA121,제1종일반주거지역
UQA122,제2종일반주거지역
UQA123,제3종일반주거지역
UQA130,준주거지역
UQA200,상업지역
UQA210,중심상업지역
UQA220,일반상업지역
UQA230,근린상업지역
UQA240,유통상업지역
UQA300,공업지역
UQA310,전용공업지역
UQA320,일반공업지역
UQA330,준공업지역
UQA400,녹지지역
UQA410,보전녹지지역
UQA420,생산녹지지역
UQA430,자연녹지지역
UQA500,도시지역미지정
UQA999,도시지역기타
UQB000,관리지역미분류
UQB001,관리지역
UQB100,계획관리지역
UQB200,생산관리지역
UQB300,보전관리지역
UQB999,관리지역기타
UQC000,농림지역미분류
UQC001,농림지역
UQC999,농림지역기타
UQD000,자연환경보전지역미분류
UQD001,자연환경보전지역
UQD999,자연환경보전지역기타
UQE000,국토이용용도지역미분류
UQE999,국토이용용도지역기타
UQF000,경관지구미분류
UQF100,경관지구
UQF110,자연경관지구
UQF120,특화경관지구
UQF130,시가지경관지구
UQF131,시가지경관지구(중심)
UQF132,시가지경관지구(일반)
UQF999,경관지구기타
UQG000,미관지구미분류
UQG100,미관지구
UQG110,중심지미관지구
UQG120,역사문화미관지구
UQG130,일반미관지구
UQG999,미관지구기타
UQH000,고도지구미분류
UQH100,고도지구
UQH110,최고고도지구
UQH120,최저고도지구
UQH999,고도지구기타
UQI000,방화지구미분류
UQI100,방화지구
UQI999,방화지구기타
UQJ000,방재지구미분류
UQJ100,방재지구
UQJ200,시가지방재지구
UQJ300,자연방재지구
UQJ999,방재지구기타
UQK000,보존지구미분류
UQK100,보존지구
UQK110,역사문화환경보호지구
UQK120,중요시설물보존지구
UQK121,중요시설물보호지구(공항)
UQK122,중요시설물보호지구(항만)
UQK123,중요시설물보호지구(공용)
UQK130,생태계보호지구
UQK999,보존지구기타
UQL000,시설보호지구미분류
UQL100,시설보호지구
UQL110,공항시설보호지구
UQL120,학교시설보호지구
UQL130,공용시설보호지구
UQL140,항만시설보호지구
UQL999,시설보호지구기타
UQM000,용도지구취락미분류
UQM100,용도지구취락지구
